LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea
8450,7,5,2003,856,856,854,1710,3,1,8,0,2,548
9600,6,8,1976,1262,1262,0,1262,3,1,6,1,2,460
11250,7,5,2001,920,920,866,1786,3,1,6,1,2,608
9550,7,5,1915,756,961,756,1717,3,1,7,1,3,642
14260,8,5,2000,1145,1145,1053,2198,4,1,9,1,3,836
14115,5,5,1993,796,796,566,1362,1,1,5,0,2,480
10084,8,5,2004,1686,1694,0,1694,3,1,7,1,2,636
10382,7,6,1973,1107,1107,983,2090,3,1,7,2,2,484
6120,7,5,1931,952,1022,752,1774,2,2,8,2,2,468
7420,5,6,1939,991,1077,0,1077,2,2,5,2,1,205
11200,5,5,1965,1040,1040,0,1040,3,1,5,0,1,384
11924,9,5,2005,1175,1182,1142,2324,4,1,11,2,3,736
12968,5,6,1962,912,912,0,912,2,1,4,0,1,352
10652,7,5,2006,1494,1494,0,1494,3,1,7,1,3,840
10920,6,5,1960,1253,1253,0,1253,2,1,5,1,1,352
6120,7,8,1929,832,854,0,854,2,1,5,0,2,576
11241,6,7,1970,1004,1004,0,1004,2,1,5,1,2,480
10791,4,5,1967,0,1296,0,1296,2,2,6,0,2,516
13695,5,5,2004,1114,1114,0,1114,3,1,6,0,2,576
7560,5,6,1958,1029,1339,0,1339,3,1,6,0,1,294
14215,8,5,2005,1158,1158,1218,2376,4,1,9,1,3,853
7449,7,7,1930,637,1108,0,1108,3,1,6,1,1,280
9742,8,5,2002,1777,1795,0,1795,3,1,7,1,2,534
4224,5,7,1976,1040,1060,0,1060,3,1,6,1,2,572
8246,5,8,1968,1060,1060,0,1060,3,1,6,1,1,270
14230,8,5,2007,1566,1600,0,1600,3,1,7,1,3,890
7200,5,7,1951,900,900,0,900,3,1,5,0,2,576
11478,8,5,2007,1704,1704,0,1704,3,1,7,1,3,772
16321,5,6,1957,1484,1600,0,1600,2,1,6,2,1,319
6324,4,6,1927,520,520,0,520,1,1,4,0,1,240
8500,4,4,1920,649,649,668,1317,3,1,6,0,1,250
8544,5,6,1966,1228,1228,0,1228,3,1,6,0,1,271
11049,8,5,2007,1234,1234,0,1234,3,1,7,0,2,484
10552,5,5,1959,1398,1700,0,1700,4,1,6,1,2,447
7313,9,5,2005,1561,1561,0,1561,2,1,6,1,2,556
13418,8,5,2004,1117,1132,1320,2452,4,1,9,1,3,691
10859,5,5,1994,1097,1097,0,1097,3,1,6,0,2,672
8532,5,6,1954,1297,1297,0,1297,3,1,5,1,2,498
7922,5,7,1953,1057,1057,0,1057,3,1,5,0,1,246
6040,4,5,1955,0,1152,0,1152,2,2,6,0,0,0
8658,6,5,1965,1088,1324,0,1324,3,1,6,1,2,440
16905,5,6,1959,1350,1328,0,1328,2,1,5,2,1,308
9180,5,7,1983,840,884,0,884,2,1,5,0,2,504
9200,5,6,1975,938,938,0,938,3,1,5,0,1,308
7945,5,6,1959,1150,1150,0,1150,3,1,6,0,1,300
7658,9,5,2005,1752,1752,0,1752,2,1,6,1,2,576
12822,7,5,2003,1434,1518,631,2149,1,1,6,1,2,670
11096,8,5,2006,1656,1656,0,1656,3,1,7,0,3,826
4456,4,5,1920,736,736,716,1452,2,3,8,0,0,0
7742,5,7,1966,955,955,0,955,3,1,6,0,1,386
13869,6,6,1997,794,794,676,1470,3,1,6,0,2,388
6240,6,6,1934,816,816,0,1176,3,1,6,1,2,528
8472,5,5,1963,816,816,0,816,2,1,5,0,2,516
50271,9,5,1981,1842,1842,0,1842,0,1,5,1,3,894
7134,5,5,1955,384,1360,0,1360,3,1,6,1,2,572
10175,6,5,1964,1425,1425,0,1425,3,1,7,1,2,576
2645,8,5,1999,970,983,756,1739,3,1,7,0,2,480
11645,7,5,2004,860,860,860,1720,3,1,7,0,2,565
13682,10,5,2006,1410,1426,1519,2945,3,1,10,1,3,641
7200,5,7,1972,780,780,0,780,2,1,4,0,1,352
13072,6,5,2004,1158,1158,0,1158,3,1,5,0,2,576
7200,5,7,1920,530,581,530,1111,3,1,6,0,1,288
6442,8,5,2006,1370,1370,0,1370,2,1,6,1,2,484
10300,7,6,1921,576,902,808,1710,3,1,9,0,2,480
9375,7,5,1997,1057,1057,977,2034,3,1,8,0,2,645
9591,8,5,2004,1143,1143,1330,2473,4,1,9,1,3,852
19900,7,5,1970,1947,2207,0,2207,3,1,7,1,2,576
10665,7,5,2003,1453,1479,0,1479,3,1,7,0,2,558
4608,4,6,1945,747,747,0,747,2,1,4,0,1,220
15593,7,4,1953,1304,1304,983,2287,3,1,7,1,2,667
13651,7,6,1973,2223,2223,0,2223,3,1,8,2,2,516
7599,4,6,1982,845,845,0,845,2,1,4,0,2,360
10141,7,5,1998,832,885,833,1718,3,1,7,1,2,427
10200,5,7,1954,1086,1086,0,1086,3,1,6,0,2,490
5790,3,6,1915,840,840,765,1605,3,2,8,0,1,379
1596,4,5,1973,462,526,462,988,2,1,5,0,1,297
8475,4,7,1956,952,952,0,952,2,1,4,0,1,283
8635,5,5,1948,672,1072,213,1285,2,1,6,0,1,240
10778,4,5,1968,1768,1768,0,1768,4,2,8,0,0,0
10440,5,6,1910,440,682,548,1230,2,1,5,0,2,440
13000,6,6,1968,896,1182,960,2142,4,1,8,1,1,509
4500,6,5,1998,1237,1337,0,1337,2,1,5,0,2,405
10206,8,5,2007,1563,1563,0,1563,3,1,6,1,3,758
8892,5,5,1960,1065,1065,0,1065,3,1,6,0,2,461
8530,7,5,1995,384,804,670,1474,3,1,7,1,2,400
16059,8,5,1991,1288,1301,1116,2417,4,1,9,1,2,462
11911,6,5,2005,684,684,876,1560,3,1,6,1,2,400
3951,6,5,2009,612,612,612,1224,2,1,4,0,2,528
8470,3,2,1915,1013,1013,0,1526,2,1,6,0,0,0
8070,4,5,1994,990,990,0,990,3,1,5,0,0,0
7200,4,5,1950,0,1040,0,1040,2,1,4,0,2,420
8500,5,3,1961,1235,1235,0,1235,2,1,6,0,2,480
13360,5,7,1921,876,964,0,964,2,1,5,0,2,432
7200,6,6,1910,1214,1260,1031,2291,4,2,9,1,2,506
9337,6,5,1997,824,905,881,1786,3,1,7,0,2,684
9765,6,8,1993,680,680,790,1470,3,1,6,1,2,420
10264,7,5,1999,1588,1588,0,1588,3,1,6,0,2,472
10921,4,5,1965,960,960,0,960,3,1,6,0,1,432
10625,5,5,1920,458,835,0,835,2,1,5,0,1,366
9320,4,5,1959,950,1225,0,1225,3,1,6,0,0,0
10603,6,7,1977,1610,1610,0,1610,3,1,6,2,2,480
9206,6,5,1985,741,977,755,1732,3,1,7,1,2,476
7018,5,5,1979,0,1535,0,1535,4,2,8,0,2,410
10402,7,5,2009,1226,1226,0,1226,3,1,6,0,3,740
7758,7,4,1931,1040,1226,592,1818,4,1,7,2,1,240
9375,8,5,2003,1053,1053,939,1992,3,1,9,1,2,648
10800,4,7,1885,641,1047,0,1047,2,1,6,0,1,273
6000,5,5,1948,789,789,0,789,2,1,5,0,1,250
8500,5,7,1919,793,997,520,1517,3,1,7,0,0,0
11751,6,6,1977,1844,1844,0,1844,3,1,7,1,2,546
9525,6,4,1954,994,1216,639,1855,4,1,7,0,1,325
7750,7,5,2000,384,774,656,1430,3,1,7,1,2,400
9965,7,5,2007,1264,1282,1414,2696,4,1,10,1,3,792
21000,6,5,1953,1809,2259,0,2259,3,1,7,2,2,450
7259,6,8,1945,1028,1436,884,2320,3,1,9,1,1,180
3230,6,5,1999,729,729,729,1458,2,1,5,1,2,440
11616,5,5,1962,1092,1092,0,1092,3,1,6,1,1,288
8536,5,5,2006,1125,1125,0,1125,2,1,5,0,2,430
12376,7,5,1990,1673,1699,1523,3222,5,1,11,2,3,594
8461,6,5,2005,728,728,728,1456,3,1,8,1,2,390
21453,6,5,1969,938,988,0,988,1,1,4,2,2,540
6060,4,5,1939,732,772,351,1123,3,1,4,0,1,264
9464,6,7,1958,1080,1080,0,1080,3,1,5,0,1,288
7892,6,5,1993,1199,1199,0,1199,2,1,5,0,2,530
17043,6,5,1979,1362,1586,0,1586,3,1,7,1,2,435
6780,6,8,1935,520,520,0,754,2,1,5,0,0,0
4928,6,5,1976,1078,958,0,958,2,1,5,1,2,440
4388,5,7,1930,672,840,0,840,3,1,5,1,0,0
7590,6,5,1966,660,660,688,1348,3,1,6,1,2,453
8973,5,7,1958,1008,1053,0,1053,3,1,6,0,2,750
14200,7,6,1966,924,1216,941,2157,4,1,8,2,2,487
12224,6,5,2000,992,1022,1032,2054,3,1,7,1,2,390
7388,5,6,1959,1063,1327,0,1327,3,1,7,0,2,624
6853,8,5,2001,1267,1296,0,1296,2,1,6,0,2,471
10335,5,6,1968,1461,1721,0,1721,3,1,7,1,2,440
10400,7,6,1970,1304,1682,0,1682,3,1,7,1,2,530
10355,5,5,1967,1214,1214,0,1214,3,1,5,1,1,318
11070,7,5,1988,1907,1959,0,1959,5,2,9,0,3,766
9066,8,5,1999,1004,1004,848,1852,3,1,7,2,3,660
15426,6,5,1997,928,928,836,1764,3,1,7,0,2,470
10500,4,5,1971,864,864,0,864,3,1,5,1,0,0
11645,7,5,2005,1734,1734,0,1734,3,1,7,0,2,660
8520,5,4,1952,910,910,475,1385,4,1,6,0,2,720
10335,7,5,1999,1490,1501,0,1501,3,1,6,0,2,577
9100,5,5,1963,1728,1728,0,1728,6,2,10,0,2,504
2522,6,5,2004,970,970,739,1709,3,1,7,0,2,380
6120,5,7,1931,715,875,0,875,2,1,5,0,1,180
9505,7,5,2001,884,884,1151,2035,3,1,8,1,2,434
7500,7,5,2004,1080,1080,0,1080,3,1,6,0,0,0
6240,5,4,1936,896,896,448,1344,3,1,7,0,1,240
10356,5,6,1975,969,969,0,969,3,1,5,0,2,440
13891,8,5,2007,1710,1710,0,1710,2,1,6,1,3,866
14803,6,5,1971,825,1097,896,1993,4,1,8,1,2,495
13500,6,7,1960,1602,1252,0,1252,1,1,4,1,2,564
11340,6,5,1923,1200,1200,0,1200,4,1,7,0,1,312
9600,6,5,1924,572,572,524,1096,2,1,5,0,0,0
7200,5,7,1950,0,1040,0,1040,2,1,5,0,2,625
12003,8,5,2009,774,774,1194,1968,4,1,8,1,3,680
12552,7,5,2004,991,991,956,1947,3,1,8,1,2,678
19378,7,5,2005,1392,1392,1070,2462,4,1,9,1,2,576
11120,6,6,1984,1232,1232,0,1232,3,1,6,0,2,516
13688,9,5,2003,1572,1572,1096,2668,3,1,10,2,3,726
12182,7,5,2005,1541,1541,0,1541,3,1,7,1,2,532
5500,4,6,1956,882,882,0,882,1,1,4,0,0,0
5400,6,7,1926,1149,1149,467,1616,3,1,5,0,1,216
10106,5,7,1940,644,808,547,1355,4,2,6,0,0,0
10708,5,5,1955,1617,1867,0,1867,2,1,7,3,1,303
10562,8,5,2007,1582,1610,551,2161,3,1,8,1,3,789
8244,7,5,2004,840,840,880,1720,3,1,7,1,2,440
16669,8,6,1981,1686,1707,0,1707,2,1,6,1,2,511
12358,5,6,1941,720,854,0,1382,2,1,7,0,2,660
31770,6,5,1960,1080,1656,0,1656,3,1,7,2,2,528
5306,7,7,1987,1064,1064,703,1767,2,1,5,1,2,504
10197,6,5,1961,1362,1362,0,1362,3,1,6,1,2,504
12416,6,5,1986,1606,1651,0,1651,3,1,7,1,2,616
12615,6,7,1950,1202,2158,0,2158,4,1,7,1,2,576
10029,6,5,1988,1151,1164,896,2060,4,1,8,1,2,521
13650,5,5,1958,1052,1252,668,1920,4,1,8,1,2,451
17423,9,5,2008,2216,2234,0,2234,1,1,9,1,3,1166
8520,5,6,1923,968,968,0,968,2,1,5,0,2,480
2117,6,5,2000,756,769,756,1525,3,1,5,1,2,440
7588,7,6,1920,793,901,901,1802,4,1,9,1,1,216
9060,5,6,1957,0,1340,0,1340,3,1,7,1,1,252
11426,7,5,2003,1362,1362,720,2082,3,1,6,0,2,484
7438,5,8,1908,504,936,316,1252,3,1,5,0,2,576
22950,10,9,1892,1107,1518,1518,3608,4,1,12,2,3,840
9947,7,5,1990,1188,1217,0,1217,3,1,6,0,2,497
10410,5,7,1916,660,808,704,1656,3,1,8,0,1,180
7018,5,5,1979,1086,1224,0,1224,2,2,6,2,2,528
4923,8,5,2001,1593,1593,0,1593,0,1,5,1,2,682
10570,8,8,1932,853,1549,1178,2727,3,1,10,2,2,440
7472,7,9,1972,725,725,754,1479,4,1,7,0,2,484
9017,7,5,1999,1431,1431,0,1431,3,1,6,0,2,666
2522,7,5,2004,970,970,739,1709,3,1,7,0,2,380
7180,5,7,1972,864,864,0,864,3,1,5,0,1,352
2280,6,6,1976,855,855,601,1456,3,1,7,1,2,440
9416,7,5,2007,1726,1726,0,1726,3,1,8,1,3,786
25419,8,4,1918,1360,1360,1360,3112,4,1,8,1,2,795
5520,6,6,1912,755,929,929,2229,5,1,8,0,0,0
9591,8,5,2004,1713,1713,0,1713,3,1,7,1,3,856
8546,4,5,2003,1121,1121,0,1121,2,1,5,0,2,440
10125,6,6,1977,1196,1279,0,1279,3,1,6,2,2,473
7000,6,6,1924,617,865,445,1310,2,1,6,0,1,398
4438,6,5,2004,848,848,0,848,1,1,3,1,2,420
3500,5,7,1947,720,720,564,1284,2,1,5,0,1,240
11851,7,5,1990,1424,1442,0,1442,3,1,5,0,2,500
13673,5,5,1962,1140,1696,0,1696,3,1,8,1,1,349
12493,4,5,1960,1100,1100,0,1100,3,1,6,1,1,312
14364,7,5,1988,1157,1180,882,2062,3,1,7,1,2,454
8250,6,7,1964,1092,1092,0,1092,3,1,6,0,2,504
5604,5,6,1925,864,864,0,864,2,1,5,0,0,0
10420,6,5,2009,1212,1212,0,1212,3,1,6,0,2,460
8640,7,5,2009,900,932,920,1852,3,1,7,1,2,644
13568,5,5,1995,990,990,0,990,3,1,5,0,2,576
10900,6,7,1977,689,689,703,1392,3,1,6,0,1,299
10011,5,6,1957,1070,1236,0,1236,2,1,6,1,1,447
8450,7,5,2004,1436,1436,0,1436,3,1,8,0,2,484
9906,4,4,1925,686,810,518,1328,3,1,8,0,1,210
15660,7,9,1939,798,1137,817,1954,3,1,8,2,2,431
3010,7,5,2005,1248,1248,0,1248,2,1,5,0,2,438
8990,7,5,2006,1498,1498,0,1498,2,1,5,0,2,675
8068,6,5,2002,1010,1010,1257,2267,4,1,8,1,2,390
11475,6,6,1975,713,811,741,1552,3,1,6,1,2,434
10500,4,6,1971,864,864,0,864,2,1,4,0,2,576
13472,10,5,2003,2392,2392,0,2392,3,1,8,1,3,968
1680,5,5,1971,630,630,672,1302,3,1,6,0,1,280
9950,7,5,1995,1203,1214,1306,2520,4,1,9,1,3,721
1869,6,6,1970,483,483,504,987,2,1,5,0,1,280
8521,5,5,1967,912,912,0,912,3,1,5,1,1,336
3182,7,5,2005,1373,1555,0,1555,2,1,7,1,2,430
8760,6,6,1959,1194,1194,0,1194,3,1,6,0,1,312
15138,8,5,1995,1462,1490,1304,2794,4,1,9,1,3,810
1680,6,5,1972,483,483,504,987,2,1,5,1,1,288
10650,5,6,1976,894,894,0,894,3,1,5,0,1,308
7851,6,5,2002,860,860,1100,1960,4,1,8,2,2,440
1680,6,3,1971,483,483,504,987,2,1,5,0,1,264
8773,7,5,2004,1414,1414,0,1414,3,1,6,0,2,494
9453,7,7,1993,996,1014,730,1744,3,1,7,0,2,457
12030,8,5,2007,1694,1694,0,1694,3,1,7,0,3,818
8741,6,4,1945,735,798,689,1487,3,1,7,1,1,220
9000,8,5,2008,1566,1566,0,1566,3,1,7,0,2,750
3880,5,9,1945,686,866,0,866,2,1,4,0,0,0
5000,5,4,1900,540,889,551,1440,3,1,6,0,1,352
10762,6,6,1980,626,626,591,1217,3,1,6,1,1,288
8880,7,5,1994,948,1222,888,2110,3,1,8,2,2,463
10400,7,5,1988,1845,1872,0,1872,3,1,6,1,2,604
9142,6,8,1910,1020,908,1020,1928,4,2,9,0,1,440
11310,6,5,1954,1367,1375,0,1375,2,1,5,1,2,451
11317,7,5,2003,840,840,828,1668,3,1,8,0,2,500
159000,6,7,1958,1444,1444,700,2144,4,1,7,2,2,389
5350,3,2,1940,728,1306,0,1306,3,1,6,0,0,0
4750,8,5,2006,1573,1625,0,1625,2,1,5,1,2,538
8366,6,5,2004,798,798,842,1640,3,1,6,0,2,520
9350,6,7,1964,1302,1302,0,1302,3,1,7,0,1,309
8400,5,6,1957,1314,1314,0,1314,3,1,5,0,1,294
8738,7,5,1999,975,1005,1286,2291,4,1,8,1,2,429
8791,6,5,2003,864,864,864,1728,3,1,7,0,2,673
8814,7,5,2006,1604,1604,0,1604,3,1,8,1,2,660
12435,7,5,2001,963,963,829,1792,3,1,7,1,2,564
12702,5,5,1956,0,882,0,882,2,1,4,0,1,308
19296,6,5,1962,1362,1382,0,1382,3,1,6,1,2,884
9588,8,5,2007,1482,1482,1092,2574,3,1,10,1,3,868
8471,6,7,1977,506,1212,0,1212,3,1,6,1,2,492
5500,5,7,1929,926,926,0,1316,3,1,6,0,2,484
5232,5,5,1925,680,764,0,764,2,1,4,0,2,504
12090,6,6,1981,1422,1422,0,1422,3,1,7,1,2,576
11207,6,5,1997,802,802,709,1511,3,1,8,1,2,413
8400,5,8,1939,720,1052,720,2192,4,1,8,1,1,240
6900,5,6,1940,740,778,0,778,2,1,4,1,1,924
7917,6,7,1976,1143,1113,0,1113,3,1,6,1,1,504
10728,8,5,2006,1095,1095,844,1939,3,1,8,1,3,1053
39104,7,7,1954,1385,1363,0,1363,2,1,5,2,2,439
11764,8,7,1999,1152,1164,1106,2270,4,1,9,1,3,671
9600,6,6,1958,1240,1632,0,1632,3,1,6,1,1,338
8314,5,7,1982,816,816,0,816,2,1,5,0,1,264
7264,7,7,1925,952,952,596,1548,3,1,5,0,2,672
9196,7,5,2003,1560,1560,0,1560,3,1,7,0,2,573
19138,4,5,1951,864,864,0,864,2,1,4,0,2,400
14450,9,5,2006,2121,2121,0,2121,3,1,8,1,3,732
10005,7,5,1977,1160,1156,866,2022,4,1,8,1,2,505
11287,7,6,1989,807,1175,807,1982,3,1,7,1,2,575
7200,6,5,2006,1262,1262,0,1262,2,1,5,0,2,572
5063,7,5,2007,1314,1314,0,1314,2,1,6,1,2,626
9612,8,5,2008,1468,1468,0,1468,3,1,6,1,3,898
8012,6,5,1992,1575,1575,0,1575,2,1,5,0,2,529
4251,7,5,2006,625,625,625,1250,2,1,5,0,2,528
9786,6,7,1962,912,1085,649,1734,3,1,7,1,2,440
8125,4,4,1971,858,858,0,858,3,1,5,0,0,0
9819,5,5,1967,882,900,0,900,3,1,5,0,1,280
8730,6,7,1915,698,698,698,1396,3,1,7,0,1,384
15611,8,5,2006,1079,1079,840,1919,3,1,8,1,2,685
5687,5,6,1912,780,936,780,1716,6,1,9,0,0,0
11409,5,4,1949,768,1148,568,1716,3,1,8,1,1,281
16659,7,7,1977,795,1468,795,2263,3,1,9,1,2,539
9600,6,5,1953,1416,1644,0,1644,3,1,7,2,2,418
7937,6,6,1984,1003,1003,0,1003,3,1,6,0,2,588
13710,5,5,1950,910,910,648,1558,4,1,6,0,1,282
7399,7,5,1997,975,975,975,1950,3,1,7,1,2,576
11700,6,6,1968,702,1041,702,1743,3,1,7,1,2,539
14000,6,8,1950,1092,1152,0,1152,3,1,6,1,1,300
15750,5,5,1953,1165,1336,0,1336,2,1,5,2,1,375
16226,8,5,1998,1028,1210,1242,2452,4,1,9,1,2,683
13704,7,5,2001,1541,1541,0,1541,3,1,6,1,3,843
9800,5,7,1972,894,894,0,894,3,1,5,0,2,552
18386,7,9,1880,1470,1675,1818,3493,3,1,10,1,3,870
10386,8,5,2004,2000,2000,0,2000,3,1,8,0,3,888
13474,7,5,1990,700,1122,1121,2243,4,1,8,1,3,746
7920,6,7,1920,319,1035,371,1406,3,1,6,0,0,0
12342,4,5,1940,861,861,0,861,1,1,4,0,2,539
12378,9,5,2003,1896,1944,0,1944,3,1,8,3,3,708
7685,6,5,1993,697,697,804,1501,3,1,6,1,2,420
8000,6,6,1948,972,972,0,972,2,1,5,1,1,240
7800,5,7,1939,793,793,325,1118,3,1,5,1,2,410
215245,7,5,1965,2136,2036,0,2036,3,1,8,2,2,513
9600,7,7,1925,728,832,809,1641,3,1,6,1,2,546
7795,7,5,2004,716,716,716,1432,3,1,6,1,2,432
13005,7,7,1980,845,1153,1200,2353,4,1,10,1,2,484
9000,8,5,2006,1088,1088,871,1959,3,1,8,1,3,1025
9900,7,5,1993,1347,1372,1274,2646,4,1,9,1,3,656
14115,7,5,1980,1372,1472,0,1472,3,1,6,2,2,588
16259,9,5,2006,1249,1249,1347,2596,4,1,9,0,3,840
12099,8,5,2004,1136,1136,1332,2468,4,1,10,1,3,872
10380,7,5,1986,1502,1553,1177,2730,4,1,8,1,2,576
5820,3,8,1955,1162,1163,0,1163,3,1,6,0,1,220
11275,7,7,1967,710,1898,1080,2978,5,1,11,1,2,564
5000,5,6,1941,720,803,0,803,2,1,5,0,2,360
10846,8,5,1993,1719,1719,0,1719,1,1,6,2,2,473
11600,6,5,1960,1383,1383,0,1383,3,1,7,0,1,292
11888,6,6,1916,844,1445,689,2134,5,1,10,0,2,441
6402,5,5,1920,596,596,596,1192,3,1,6,0,1,189
10624,5,4,1964,1728,1728,0,1728,6,2,10,0,1,352
8176,5,6,1958,1056,1056,0,1056,3,1,6,0,1,308
10655,8,5,2003,3206,1629,0,1629,3,1,7,1,3,880
8198,7,5,2004,1358,1358,0,1358,2,1,6,1,2,484
9042,6,5,1998,943,943,695,1638,3,1,7,2,2,472
164660,5,6,1965,1499,1619,167,1786,3,1,7,2,2,529
14157,9,5,2005,1922,1922,0,1922,3,1,8,1,3,676
9135,7,5,2002,1536,1536,0,1536,3,1,7,0,2,532
14145,7,7,1984,1208,1621,0,1621,3,1,8,0,2,440
12400,6,7,1958,1215,1215,0,1215,3,1,6,0,1,297
14191,8,5,2002,967,993,915,1908,4,1,9,0,2,431
8400,4,4,1950,721,841,0,841,2,1,4,0,1,294
8544,3,4,1949,0,1040,0,1040,2,2,6,0,2,400
8849,9,5,2005,1684,1684,0,1684,2,1,6,1,2,564
2592,5,3,1976,536,536,576,1112,3,1,4,0,1,336
6435,6,5,1939,972,972,605,1577,3,1,6,1,1,312
12772,6,8,1960,958,958,0,958,2,1,5,0,1,301
17600,6,5,1960,1478,1478,0,1478,3,1,6,2,2,498
2448,7,5,2003,764,764,862,1626,2,1,6,0,2,474
20431,9,5,2005,1848,1848,880,2728,4,1,10,2,3,706
7820,9,5,2007,1869,1869,0,1869,2,1,6,1,2,617
5271,7,5,1986,1453,1453,0,1453,2,1,6,1,2,445
9084,5,6,1941,616,616,495,1111,3,1,5,0,1,200
8520,6,8,1928,624,720,0,720,2,1,5,0,2,484
8400,6,5,1940,940,1192,403,1595,2,1,6,2,1,240
11249,6,5,1995,1200,1200,0,1200,3,1,6,0,2,521
9248,6,6,1992,1158,1167,0,1167,3,1,6,0,2,400
4224,5,5,1976,1142,1142,0,1142,3,1,6,1,2,528
6930,5,4,1958,1062,1352,0,1352,3,1,6,0,1,288
12011,8,5,1998,1086,1086,838,1924,3,1,7,1,2,592
7540,6,6,1978,888,912,0,912,2,1,5,1,2,470
