LotArea,OverallQual,Age,CentralAir,GrLivArea,FullBath,KitchenQual,YrSold,SalePrice
8450,7,19,Y,1710,2,Gd,2008,208500
9600,6,46,Y,1262,2,TA,2007,181500
11250,7,21,Y,1786,2,Gd,2008,223500
9550,7,107,Y,1717,1,Gd,2006,140000
14260,8,22,Y,2198,2,Gd,2008,250000
14115,5,29,Y,1362,1,TA,2009,143000
10084,8,18,Y,1694,2,Gd,2007,307000
10382,7,49,Y,2090,2,TA,2009,200000
6120,7,91,Y,1774,2,TA,2008,129900
7420,5,83,Y,1077,1,TA,2008,118000
11200,5,57,Y,1040,1,TA,2008,129500
11924,9,17,Y,2324,3,Ex,2006,345000
12968,5,60,Y,912,1,TA,2008,144000
10652,7,16,Y,1494,2,Gd,2007,279500
10920,6,62,Y,1253,1,TA,2008,157000
6120,7,93,Y,854,1,TA,2007,132000
11241,6,52,Y,1004,1,TA,2010,149000
10791,4,55,Y,1296,2,TA,2006,90000
13695,5,18,Y,1114,1,Gd,2008,159000
7560,5,64,Y,1339,1,TA,2009,139000
14215,8,17,Y,2376,3,Gd,2006,325300
7449,7,92,Y,1108,1,Gd,2007,139400
9742,8,20,Y,1795,2,Gd,2008,230000
4224,5,46,Y,1060,1,TA,2007,129900
8246,5,54,Y,1060,1,Gd,2010,154000
14230,8,15,Y,1600,2,Gd,2009,256300
7200,5,71,Y,900,1,Gd,2010,134800
11478,8,15,Y,1704,2,Gd,2010,306000
16321,5,65,Y,1600,1,TA,2006,207500
6324,4,95,N,520,1,Fa,2008,68500
8500,4,102,N,1317,1,TA,2008,40000
8544,5,56,Y,1228,1,Gd,2008,149350
11049,8,15,Y,1234,2,Gd,2008,179900
10552,5,63,Y,1700,1,Gd,2010,165500
7313,9,17,Y,1561,2,Ex,2007,277500
13418,8,18,Y,2452,3,Gd,2006,309000
10859,5,28,Y,1097,1,TA,2009,145000
8532,5,68,Y,1297,1,TA,2009,153000
7922,5,69,Y,1057,1,Gd,2010,109000
6040,4,67,N,1152,2,Fa,2008,82000
8658,6,57,Y,1324,2,TA,2006,160000
16905,5,63,Y,1328,1,TA,2007,170000
9180,5,39,Y,884,1,Gd,2007,144000
9200,5,47,Y,938,1,TA,2008,130250
7945,5,63,Y,1150,1,TA,2006,141000
7658,9,17,Y,1752,2,Ex,2010,319900
12822,7,19,Y,2149,1,Gd,2009,239686
11096,8,16,Y,1656,2,Gd,2007,249700
4456,4,102,Y,1452,2,TA,2009,113000
7742,5,56,Y,955,1,TA,2007,127000
13869,6,25,Y,1470,2,TA,2007,177000
6240,6,88,Y,1176,1,TA,2006,114500
8472,5,59,N,816,1,TA,2010,110000
50271,9,41,Y,1842,0,Gd,2006,385000
7134,5,67,Y,1360,1,TA,2007,130000
10175,6,58,Y,1425,2,TA,2008,180500
2645,8,23,Y,1739,2,Gd,2009,172500
11645,7,18,Y,1720,2,Gd,2006,196500
13682,10,16,Y,2945,3,Gd,2006,438780
7200,5,50,Y,780,1,TA,2008,124900
13072,6,18,Y,1158,1,Gd,2006,158000
7200,5,102,N,1111,1,Fa,2007,101000
6442,8,16,Y,1370,2,Gd,2007,202500
10300,7,101,Y,1710,2,TA,2010,140000
9375,7,25,Y,2034,2,Gd,2009,219500
9591,8,18,Y,2473,2,Gd,2007,317000
19900,7,52,Y,2207,2,TA,2010,180000
10665,7,19,Y,1479,2,Gd,2007,226000
4608,4,77,Y,747,1,TA,2010,80000
15593,7,69,Y,2287,2,TA,2006,225000
13651,7,49,Y,2223,2,TA,2007,244000
7599,4,40,Y,845,1,TA,2007,129500
10141,7,24,Y,1718,2,TA,2009,185000
10200,5,68,Y,1086,1,TA,2010,144900
5790,3,107,N,1605,2,TA,2010,107400
1596,4,49,Y,988,1,TA,2009,91000
8475,4,66,Y,952,1,TA,2008,135750
8635,5,74,Y,1285,1,TA,2008,127000
10778,4,54,N,1768,2,TA,2010,136500
10440,5,112,Y,1230,1,TA,2009,110000
13000,6,54,Y,2142,2,Gd,2009,193500
4500,6,24,Y,1337,2,TA,2006,153500
10206,8,15,Y,1563,2,Gd,2008,245000
8892,5,62,Y,1065,1,TA,2007,126500
8530,7,27,Y,1474,2,TA,2009,168500
16059,8,31,Y,2417,2,Gd,2006,260000
11911,6,17,Y,1560,2,Gd,2009,174000
3951,6,13,Y,1224,2,Gd,2009,164500
8470,3,107,N,1526,1,Fa,2009,85000
8070,4,28,Y,990,1,TA,2007,123600
7200,4,72,Y,1040,1,TA,2006,109900
8500,5,61,Y,1235,1,TA,2006,98600
13360,5,101,Y,964,1,TA,2009,163500
7200,6,112,N,2291,2,TA,2007,133900
9337,6,25,Y,1786,2,Gd,2007,204750
9765,6,29,Y,1470,2,TA,2009,185000
10264,7,23,Y,1588,2,Gd,2006,214000
10921,4,57,Y,960,1,TA,2007,94750
10625,5,102,N,835,1,TA,2010,83000
9320,4,63,Y,1225,1,TA,2010,128950
10603,6,45,Y,1610,2,Gd,2010,205000
9206,6,37,Y,1732,2,Gd,2010,178000
7018,5,43,Y,1535,2,TA,2009,118964
10402,7,13,Y,1226,2,Gd,2010,198900
7758,7,91,Y,1818,1,TA,2007,169500
9375,8,19,Y,1992,2,Gd,2008,250000
10800,4,137,Y,1047,1,TA,2007,100000
6000,5,74,Y,789,1,TA,2008,115000
8500,5,103,N,1517,2,Fa,2007,115000
11751,6,45,Y,1844,2,TA,2010,190000
9525,6,68,Y,1855,2,TA,2006,136900
7750,7,22,Y,1430,2,TA,2010,180000
9965,7,15,Y,2696,2,Ex,2007,383970
21000,6,69,Y,2259,2,Gd,2007,217000
7259,6,77,Y,2320,2,Gd,2007,259500
3230,6,23,Y,1458,2,TA,2007,176000
11616,5,60,Y,1092,1,TA,2009,139000
8536,5,16,Y,1125,1,TA,2007,155000
12376,7,32,Y,3222,3,Gd,2010,320000
8461,6,17,Y,1456,2,Gd,2006,163990
21453,6,53,Y,988,1,TA,2006,180000
6060,4,83,Y,1123,1,TA,2007,100000
9464,6,64,Y,1080,1,TA,2008,136000
7892,6,29,Y,1199,2,Gd,2008,153900
17043,6,43,Y,1586,2,TA,2009,181000
6780,6,87,N,754,1,TA,2006,84500
4928,6,46,Y,958,2,TA,2007,128000
4388,5,92,Y,840,1,TA,2007,87000
7590,6,56,Y,1348,1,TA,2006,155000
8973,5,64,Y,1053,1,Ex,2006,150000
14200,7,56,Y,2157,2,Gd,2006,226000
12224,6,22,Y,2054,2,Gd,2009,244000
7388,5,63,Y,1327,1,Gd,2007,150750
6853,8,21,Y,1296,2,Gd,2009,220000
10335,5,54,Y,1721,2,TA,2006,180000
10400,7,52,Y,1682,2,TA,2008,174000
10355,5,55,Y,1214,2,TA,2007,143000
11070,7,34,Y,1959,3,TA,2006,171000
9066,8,23,Y,1852,2,Gd,2008,230000
15426,6,25,Y,1764,2,Gd,2009,231500
10500,4,51,Y,864,1,TA,2010,115000
11645,7,17,Y,1734,2,Gd,2006,260000
8520,5,70,Y,1385,2,TA,2010,166000
10335,7,23,Y,1501,2,Gd,2009,204000
9100,5,59,Y,1728,2,TA,2006,125000
2522,6,18,Y,1709,2,Gd,2006,130000
6120,5,91,Y,875,1,TA,2009,105000
9505,7,21,Y,2035,2,Gd,2010,222500
7500,7,18,Y,1080,1,Gd,2008,141000
6240,5,86,Y,1344,1,TA,2006,115000
10356,5,47,Y,969,1,TA,2007,122000
13891,8,15,Y,1710,2,Gd,2008,372402
14803,6,51,Y,1993,2,TA,2006,190000
13500,6,62,Y,1252,1,TA,2008,235000
11340,6,99,Y,1200,1,TA,2006,125000
9600,6,98,N,1096,1,TA,2008,79000
7200,5,72,Y,1040,1,TA,2006,109500
12003,8,13,Y,1968,2,Ex,2010,269500
12552,7,18,Y,1947,2,Gd,2010,254900
19378,7,17,Y,2462,2,Gd,2006,320000
11120,6,38,Y,1232,2,TA,2008,162500
13688,9,19,Y,2668,2,Ex,2008,412500
12182,7,17,Y,1541,2,Gd,2010,220000
5500,4,66,Y,882,1,TA,2007,103200
5400,6,96,Y,1616,2,Gd,2007,152000
10106,5,82,Y,1355,2,TA,2008,127500
10708,5,67,Y,1867,1,TA,2009,190000
10562,8,15,Y,2161,1,Ex,2007,325624
8244,7,18,Y,1720,2,Gd,2007,183500
16669,8,41,Y,1707,2,TA,2006,228000
12358,5,81,Y,1382,1,TA,2007,128500
31770,6,62,Y,1656,1,TA,2010,215000
5306,7,35,Y,1767,2,Gd,2006,239000
10197,6,61,Y,1362,1,TA,2008,163000
12416,6,36,Y,1651,2,TA,2008,184000
12615,6,72,Y,2158,2,Gd,2007,243000
10029,6,34,Y,2060,2,TA,2007,211000
13650,5,64,Y,1920,2,Gd,2006,172500
17423,9,14,Y,2234,2,Ex,2009,501837
8520,5,99,Y,968,1,TA,2007,100000
2117,6,22,Y,1525,2,Gd,2007,177000
7588,7,102,Y,1802,1,TA,2006,200100
9060,5,65,Y,1340,1,TA,2007,120000
11426,7,19,Y,2082,2,Gd,2008,200000
7438,5,114,Y,1252,1,TA,2006,127000
22950,10,130,Y,3608,2,Ex,2006,475000
9947,7,32,Y,1217,2,Gd,2009,173000
10410,5,106,Y,1656,2,TA,2009,135000
7018,5,43,Y,1224,0,TA,2009,153337
4923,8,21,Y,1593,1,Ex,2008,286000
10570,8,90,Y,2727,2,Gd,2007,315000
7472,7,50,Y,1479,1,Gd,2007,184000
9017,7,23,Y,1431,2,Gd,2009,192000
2522,7,18,Y,1709,2,Gd,2006,130000
7180,5,50,Y,864,1,TA,2008,127000
2280,6,46,Y,1456,2,TA,2009,148500
9416,7,15,Y,1726,2,Ex,2007,311872
25419,8,104,Y,3112,2,Gd,2006,235000
5520,6,110,Y,2229,1,TA,2009,104000
9591,8,18,Y,1713,2,Ex,2009,274900
8546,4,19,Y,1121,2,TA,2010,140000
10125,6,45,Y,1279,2,TA,2008,171500
7000,6,98,Y,1310,2,TA,2006,112000
4438,6,18,Y,848,1,Gd,2008,149000
3500,5,75,Y,1284,1,TA,2009,110000
11851,7,32,Y,1442,2,TA,2009,180500
13673,5,60,Y,1696,1,TA,2007,143900
12493,4,62,Y,1100,1,TA,2008,141000
14364,7,34,Y,2062,2,TA,2007,277000
8250,6,58,Y,1092,1,TA,2008,145000
5604,5,97,N,864,1,TA,2008,98000
10420,6,13,Y,1212,2,Gd,2010,186000
8640,7,13,Y,1852,2,Gd,2009,252678
13568,5,27,Y,990,1,TA,2006,156000
10900,6,45,Y,1392,1,TA,2010,161750
10011,5,65,Y,1236,1,Gd,2006,134450
8450,7,18,Y,1436,2,Gd,2008,210000
9906,4,97,N,1328,1,TA,2006,107000
15660,7,83,Y,1954,1,Gd,2008,311500
3010,7,17,Y,1248,2,Gd,2006,167240
8990,7,16,Y,1498,2,Gd,2006,204900
8068,6,20,Y,2267,2,Gd,2009,200000
11475,6,47,Y,1552,2,TA,2006,179900
10500,4,51,Y,864,1,TA,2009,97000
13472,10,19,Y,2392,2,Ex,2009,386250
1680,5,51,Y,1302,2,TA,2009,112000
9950,7,27,Y,2520,2,Gd,2007,290000
1869,6,52,Y,987,1,TA,2008,106000
8521,5,55,Y,912,1,TA,2010,125000
3182,7,17,Y,1555,2,Gd,2009,192500
8760,6,63,Y,1194,1,TA,2010,148000
15138,8,27,Y,2794,2,Ex,2009,403000
1680,6,50,Y,987,1,TA,2006,94500
10650,5,46,Y,894,1,TA,2010,128200
7851,6,20,Y,1960,2,Gd,2010,216500
1680,6,51,Y,987,1,TA,2008,89500
8773,7,18,Y,1414,2,Gd,2010,185500
9453,7,29,Y,1744,2,Gd,2010,194500
12030,8,15,Y,1694,2,Gd,2007,318000
8741,6,77,Y,1487,1,TA,2010,113000
9000,8,14,Y,1566,2,Gd,2010,262500
3880,5,77,Y,866,1,Gd,2007,110500
5000,5,122,N,1440,1,TA,2006,79000
10762,6,42,Y,1217,1,TA,2009,120000
8880,7,28,Y,2110,2,Gd,2010,205000
10400,7,34,Y,1872,2,TA,2006,241500
9142,6,112,N,1928,2,Fa,2006,137000
11310,6,68,Y,1375,1,TA,2006,140000
11317,7,19,Y,1668,2,Gd,2007,180000
159000,6,64,Y,2144,2,Gd,2007,277000
5350,3,82,Y,1306,1,Fa,2010,76500
4750,8,16,Y,1625,2,Gd,2007,235000
8366,6,18,Y,1640,2,Gd,2008,173000
9350,6,58,Y,1302,2,Gd,2007,158000
8400,5,65,Y,1314,1,TA,2010,145000
8738,7,23,Y,2291,2,Gd,2006,230000
8791,6,19,Y,1728,2,Gd,2008,207500
8814,7,16,Y,1604,2,Gd,2009,220000
12435,7,21,Y,1792,2,Gd,2008,231500
12702,5,66,Y,882,1,TA,2008,97000
19296,6,60,Y,1382,1,TA,2009,176000
9588,8,15,Y,2574,2,Ex,2007,276000
8471,6,45,Y,1212,1,TA,2006,151000
5500,5,93,Y,1316,1,TA,2010,130000
5232,5,97,N,764,1,TA,2008,73000
12090,6,41,Y,1422,2,Gd,2008,175500
11207,6,25,Y,1511,2,TA,2006,185000
8400,5,83,Y,2192,2,Gd,2008,179500
6900,5,82,Y,778,1,TA,2008,120500
7917,6,46,Y,1113,1,TA,2007,148000
10728,8,16,Y,1939,2,Gd,2006,266000
39104,7,68,Y,1363,1,TA,2008,241500
11764,8,23,Y,2270,2,Gd,2010,290000
9600,6,64,Y,1632,2,TA,2009,139000
8314,5,40,Y,816,1,TA,2007,124500
7264,7,97,N,1548,2,Ex,2009,205000
9196,7,19,Y,1560,2,Gd,2010,201000
19138,4,71,Y,864,1,TA,2010,141000
14450,9,16,Y,2121,2,Ex,2007,415298
10005,7,45,Y,2022,2,TA,2008,192000
11287,7,33,Y,1982,2,Gd,2007,228500
7200,6,16,Y,1262,2,Gd,2006,185000
5063,7,15,Y,1314,2,Gd,2009,207500
9612,8,14,Y,1468,2,Gd,2009,244600
8012,6,30,Y,1575,2,Gd,2007,179200
4251,7,16,Y,1250,2,Gd,2007,164700
9786,6,60,Y,1734,1,Gd,2006,159000
8125,4,51,Y,858,1,TA,2006,88000
9819,5,55,Y,900,1,TA,2010,122000
8730,6,107,Y,1396,1,TA,2007,153575
15611,8,16,Y,1919,2,Gd,2006,233230
5687,5,110,N,1716,2,Fa,2008,135900
11409,5,73,Y,1716,1,TA,2009,131000
16659,7,45,Y,2263,2,Gd,2006,235000
9600,6,69,Y,1644,1,TA,2009,167000
7937,6,38,Y,1003,1,TA,2006,142500
13710,5,72,Y,1558,1,TA,2007,152000
7399,7,25,Y,1950,2,Gd,2007,239000
11700,6,54,Y,1743,1,TA,2007,175000
14000,6,72,Y,1152,1,Gd,2009,158500
15750,5,69,Y,1336,1,TA,2006,157000
16226,8,24,Y,2452,2,Gd,2007,267000
13704,7,21,Y,1541,2,Gd,2006,205000
9800,5,50,Y,894,1,TA,2006,149900
18386,7,142,Y,3493,3,Gd,2008,295000
10386,8,18,Y,2000,2,Gd,2007,305900
13474,7,32,Y,2243,2,Gd,2007,225000
7920,6,102,Y,1406,1,Fa,2008,89500
12342,4,82,Y,861,1,TA,2009,82500
12378,9,19,Y,1944,2,Ex,2006,360000
7685,6,29,Y,1501,2,Gd,2006,165600
8000,6,74,Y,972,1,TA,2009,132000
7800,5,83,Y,1118,1,TA,2006,119900
215245,7,57,Y,2036,2,TA,2009,375000
9600,7,97,Y,1641,1,Ex,2006,178000
7795,7,18,Y,1432,2,Gd,2009,188500
13005,7,42,Y,2353,2,Ex,2009,260000
9000,8,16,Y,1959,2,Gd,2007,270000
9900,7,29,Y,2646,2,Gd,2009,260000
14115,7,42,Y,1472,2,TA,2009,187500
16259,9,16,Y,2596,3,Gd,2006,342643
12099,8,18,Y,2468,2,Gd,2007,354000
10380,7,36,Y,2730,2,Gd,2007,301000
5820,3,67,Y,1163,1,TA,2006,126175
11275,7,55,Y,2978,2,Gd,2010,242000
5000,5,81,N,803,1,TA,2007,87000
10846,8,29,Y,1719,1,Gd,2008,324000
11600,6,62,Y,1383,1,TA,2006,145250
11888,6,106,N,2134,2,Gd,2009,214500
6402,5,102,N,1192,1,TA,2009,78000
10624,5,58,Y,1728,2,TA,2007,119000
8176,5,64,Y,1056,1,TA,2007,139000
10655,8,19,Y,1629,2,Gd,2009,284000
8198,7,18,Y,1358,2,Gd,2008,207000
9042,6,24,Y,1638,2,TA,2008,192000
164660,5,57,Y,1786,2,TA,2008,228950
14157,9,17,Y,1922,2,Gd,2007,377426
9135,7,20,Y,1536,2,Gd,2008,214000
14145,7,38,Y,1621,2,Gd,2006,202500
12400,6,64,Y,1215,1,TA,2009,155000
14191,8,20,Y,1908,2,Gd,2010,202900
8400,4,72,Y,841,1,TA,2009,82000
8544,3,73,N,1040,2,TA,2006,87500
8849,9,17,Y,1684,2,Ex,2008,266000
2592,5,46,Y,1112,1,TA,2010,85000
6435,6,83,Y,1577,1,Fa,2006,140200
12772,6,62,Y,958,1,TA,2007,151500
17600,6,62,Y,1478,2,TA,2009,157500
2448,7,19,Y,1626,2,Gd,2008,154000
20431,9,17,Y,2728,2,Ex,2006,437154
7820,9,15,Y,1869,2,Ex,2007,318061
5271,7,36,Y,1453,1,Gd,2006,190000
9084,5,81,N,1111,1,TA,2008,95000
8520,6,94,Y,720,1,TA,2010,105900
8400,6,82,Y,1595,1,TA,2006,140000
11249,6,27,Y,1200,2,Gd,2007,177500
9248,6,30,Y,1167,2,Gd,2009,173000
4224,5,46,Y,1142,1,TA,2007,134000
6930,5,64,Y,1352,1,Gd,2006,130000
12011,8,24,Y,1924,2,Gd,2006,280000
7540,6,44,Y,912,1,TA,2007,156000
9144,5,82,Y,1505,1,TA,2008,145000
7301,7,19,Y,1922,3,Gd,2009,198500
1680,6,50,Y,987,1,Gd,2009,118000
18800,6,46,Y,1574,2,TA,2006,190000
10690,5,102,Y,1344,1,TA,2009,147000
9500,6,59,Y,1394,1,TA,2009,159000
9150,6,60,Y,1431,1,TA,2008,165000
7800,5,68,Y,1268,1,TA,2010,132000
9830,5,63,Y,1287,1,Gd,2010,162000
8121,6,22,Y,1664,2,TA,2006,172400
17120,4,63,Y,1588,2,TA,2008,134432
7175,6,38,Y,752,1,TA,2010,125000
10634,5,69,Y,1319,1,TA,2009,123000
8200,7,19,Y,1928,2,Gd,2007,219500
10020,1,100,N,904,0,Fa,2009,61000
8846,5,26,Y,914,1,TA,2006,148000
11143,8,18,Y,2466,3,Gd,2007,340000
11394,9,12,Y,1856,1,Ex,2010,394432
8123,6,22,Y,1800,2,TA,2009,179000
5000,5,98,Y,1691,2,Gd,2010,127000
7200,7,16,Y,1301,2,Gd,2006,187750
9245,7,16,Y,1797,2,Gd,2007,213500
9000,6,94,N,784,1,TA,2009,76000
53107,6,30,Y,1953,2,Gd,2007,240000
3182,8,18,Y,1269,2,Gd,2010,192000
8410,5,112,Y,1184,1,TA,2006,81000
7200,6,46,Y,1125,1,TA,2009,125000
9382,7,23,Y,1479,2,Gd,2008,191000
12474,10,15,Y,2332,2,Ex,2008,426000
8405,5,122,Y,1367,1,TA,2008,119000
12209,6,21,Y,1961,2,Gd,2009,215000
8339,5,63,Y,882,1,TA,2007,106500
7446,4,81,Y,788,1,TA,2006,100000
10134,5,82,Y,1034,1,TA,2007,109000
9571,5,66,Y,1144,1,TA,2010,129000
7200,5,50,Y,894,1,TA,2009,123000
7590,5,60,Y,1812,2,TA,2007,169500
8967,5,102,Y,1077,1,TA,2007,67000
8125,7,16,Y,1550,2,Gd,2009,241000
14963,8,26,Y,1288,1,Ex,2008,245500
8767,7,17,Y,1310,2,Gd,2006,164990
10200,5,82,Y,672,1,TA,2008,108000
12090,8,24,Y,2263,2,Gd,2006,258000
10364,6,27,Y,1572,2,TA,2007,168000
9991,4,46,Y,1620,2,TA,2009,150000
10480,6,86,Y,1639,1,TA,2008,115000
15576,6,107,Y,1680,2,TA,2008,177000
14154,7,16,Y,2172,2,Gd,2007,280000
10800,8,15,Y,2078,2,Ex,2008,339750
9571,5,64,Y,1276,1,TA,2009,60000
34650,5,67,N,1056,1,TA,2006,145000
4403,7,13,Y,1478,2,Gd,2010,222000
8960,5,95,Y,1028,1,TA,2010,115000
11228,7,29,Y,2097,2,Gd,2008,228000
8899,7,15,Y,1340,2,Gd,2007,181134
7844,6,44,Y,1400,1,TA,2006,149500
22420,6,104,N,2624,2,TA,2007,239000
8160,5,82,N,1134,1,TA,2007,126000
8450,5,54,Y,1056,1,TA,2010,142000
7060,7,25,Y,1344,2,TA,2008,206300
16635,6,45,Y,1602,2,Gd,2009,215000
21750,5,68,Y,988,1,TA,2008,113000
9200,8,24,Y,2630,2,Gd,2008,315000
9000,6,66,Y,1196,1,TA,2008,139000
3378,7,76,Y,1389,1,TA,2009,135000
12800,7,33,Y,1644,2,Gd,2009,275000
8593,4,65,Y,907,1,TA,2008,109008
6762,7,15,Y,1208,2,Gd,2007,195400
11457,6,34,Y,1412,2,Gd,2009,175000
1680,6,51,Y,987,1,TA,2008,85400
5586,6,102,Y,1198,1,TA,2008,79900
1920,5,51,Y,1365,1,TA,2007,122500
10839,6,25,Y,1604,2,TA,2008,181000
1890,4,50,Y,630,1,TA,2008,81000
10667,7,26,Y,1661,2,Gd,2009,212000
4400,6,102,Y,1118,1,TA,2006,116000
6000,6,96,Y,904,1,TA,2009,119000
4280,5,109,N,694,1,Gd,2007,90350
12354,6,102,Y,1196,1,Gd,2009,110000
15431,10,14,Y,2402,2,Ex,2009,555000
12108,4,67,N,1440,2,Fa,2008,118000
6240,5,92,Y,1573,2,TA,2008,162900
3922,7,16,Y,1258,2,Gd,2007,172500
8750,7,28,Y,1908,2,Gd,2008,210000
9855,6,66,Y,1689,1,TA,2009,127500
16492,6,56,Y,1888,2,Gd,2010,190000
11214,7,24,Y,1886,2,Gd,2006,199900
8600,6,85,Y,1376,2,TA,2006,119500
6000,3,74,Y,1183,1,TA,2007,120000
5684,6,92,Y,813,1,Gd,2006,110000
70761,7,47,Y,1533,2,Gd,2006,280000
9303,6,26,Y,1756,2,TA,2007,204000
9000,8,14,Y,1590,2,Gd,2009,210000
9297,5,46,Y,1728,2,TA,2006,188000
9600,7,49,Y,1242,1,TA,2007,175500
4571,5,106,N,1344,1,TA,2008,98000
53227,4,68,Y,1663,1,Gd,2008,256000
5100,8,97,Y,1666,1,Gd,2008,161000
7015,5,72,Y,1203,1,Gd,2009,110000
8004,8,13,Y,1935,2,TA,2009,263435
7200,7,86,Y,1135,1,Gd,2009,155000
8281,5,57,Y,864,1,TA,2009,62383
11988,6,88,Y,1660,1,TA,2008,188700
8430,5,44,Y,1040,2,TA,2009,124000
3072,7,18,Y,1414,2,Gd,2006,178740
10628,7,52,Y,1277,1,TA,2007,167000
9480,5,80,Y,1644,1,Gd,2007,146500
11428,8,16,Y,1634,2,Gd,2007,250000
9291,6,29,Y,1710,2,Gd,2008,187000
6820,8,37,Y,1502,1,Gd,2010,212000
11952,7,45,Y,1969,2,TA,2007,190000
3675,6,17,Y,1072,1,TA,2008,148000
14977,8,16,Y,1976,2,Gd,2007,440000
5330,8,22,Y,1652,2,Ex,2007,251000
8480,5,59,Y,970,1,TA,2007,132500
13125,6,25,Y,1493,2,Gd,2008,208900
13693,9,16,Y,2643,2,Ex,2007,380000
10637,8,15,Y,1718,2,Gd,2009,297000
5925,4,85,Y,1131,1,TA,2007,89471
16033,9,18,Y,1850,2,Gd,2006,326000
11846,9,19,Y,1792,2,Ex,2006,374000
2500,7,107,Y,1826,1,Ex,2009,155000
4500,6,24,Y,1216,2,TA,2006,164000
7758,5,60,Y,999,1,Gd,2007,132500
